author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/295758505/,Москва,sale,flat,6,9,1,32.8,-1,0,8900000,Печатники,Шоссейная ,3,Печатники,
Лофт Инвест,real_estate_agent,https://www.cian.ru/sale/flat/299893948/,Москва,sale,flat,5,16,1,38.9,-1,0,11300000,Отрадное,Алтуфьевское шоссе,2,Владыкино,
ID 84856352,homeowner,https://www.cian.ru/sale/flat/301505612/,Москва,sale,flat,5,14,1,34.6,-1,0,13650000,Нагорный,Ялтинская ,8,Севастопольская,
ID 16590901,homeowner,https://www.cian.ru/sale/flat/301668357/,Москва,sale,flat,8,22,1,41.0,-1,0,12900000,Южное Медведково, Молодцова,15К2,Медведково,
СОВКОМБАНК,official_representative,https://www.cian.ru/sale/flat/297233032/,Москва,sale,flat,12,12,1,39.0,-1,0,9750000,Гольяново,Уральская ,1,Щёлковская,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300329807/,Москва,sale,flat,3,18,1,48.0,-1,0,31990000,Раменки, Янковского,1к2,Аминьевская,Событие
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/294760157/,Москва,sale,flat,5,16,1,20.3,-1,0,7000000,Очаково-Матвеевское,Аминьевское шоссе,17,Давыдково,
Юлия Иванова,realtor,https://www.cian.ru/sale/flat/301083049/,Москва,sale,flat,45,52,1,43.1,-1,0,25450000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
ID 113174200,homeowner,https://www.cian.ru/sale/flat/301362066/,Москва,sale,flat,8,9,1,33.0,-1,0,10540000,Черемушки, Цюрупы,15К3,Новые Черёмушки,
САМОЛЕТ ПЛЮС,real_estate_agent,https://www.cian.ru/sale/flat/300043698/,Москва,sale,flat,8,17,1,38.1,-1,0,9700000,Кузьминки,Волжский бульвар,31К1,Кузьминки,
Estes,real_estate_agent,https://www.cian.ru/sale/flat/300647536/,Москва,sale,flat,4,12,1,38.7,-1,0,12550000,Нагатино-Садовники,Коломенский проезд,14К1,Каширская,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/298159475/,Москва,sale,flat,3,32,1,35.0,-1,0,19000000,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,Level Причальный
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/300136415/,Москва,sale,flat,12,14,1,54.5,-1,0,35700000,Пресненский, Малая Грузинская,28,Краснопресненская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300313530/,Москва,sale,flat,12,17,1,41.6,-1,0,8900000,Косино-Ухтомский,Лухмановская ,15к4,Лухмановская,
ID 102468107,homeowner,https://www.cian.ru/sale/flat/300798228/,Москва,sale,flat,11,12,1,38.3,-1,0,12990000,Дмитровский,Дмитровское шоссе,109к1,Яхромская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299740960/,Москва,sale,flat,15,17,1,34.6,-1,0,9000000,Ясенево, Инессы Арманд,7,Новоясеневская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299776431/,Москва,sale,flat,12,12,1,38.7,-1,0,9200000,Орехово-Борисово Южное,Домодедовская ,38К2,Домодедовская,
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/300501002/,Москва,sale,flat,3,12,1,35.0,-1,0,10100000,Западное Дегунино, Ивана Сусанина,4К1,Моссельмаш,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298527999/,Москва,sale,flat,3,9,1,38.7,-1,0,10500000,Перово, Плеханова,26К4,Перово,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299722483/,Москва,sale,flat,6,13,1,26.8,-1,0,10300000,Таганский,Волгоградский проспект,1С1,Пролетарская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/298016918/,Москва,sale,flat,3,9,1,30.3,-1,0,6825000,Люблино, Верхние Поля,27С2,Братиславская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298984231/,Москва,sale,flat,15,22,1,38.6,-1,0,12100000,Чертаново Центральное,Кировоградская ,30,Пражская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297263854/,Москва,sale,flat,2,14,1,38.3,-1,0,9300000,Южное Бутово,Изюмская ,49к4,Бутово,
ID 88240881,homeowner,https://www.cian.ru/sale/flat/300393119/,Москва,sale,flat,10,12,1,46.0,-1,0,17900000,Филевский парк,Береговой проезд,9К5,Фили,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299469625/,Москва,sale,flat,8,17,1,38.0,-1,0,10000000,Северное Бутово, Грина,9,Бульвар Дмитрия Донского,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297902239/,Москва,sale,flat,13,16,1,37.5,-1,0,10300000,Бибирево,Белозерская ,17,Бибирево,
ID 10392706,homeowner,https://www.cian.ru/sale/flat/300396782/,Москва,sale,flat,6,9,1,32.5,-1,0,12900000,Черемушки,Новочеремушкинская ,55К1,Профсоюзная,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/295294075/,Москва,sale,flat,6,12,1,35.2,-1,0,10500000,Преображенское,2-я Пугачевская ,9К1,Преображенская площадь,
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/301181308/,Москва,sale,flat,2,2,1,31.4,-1,0,9800000,Текстильщики,Грайвороновская ,4С2,Текстильщики,
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/300557795/,Москва,sale,flat,5,12,1,35.0,-1,0,14490000,Войковский,3-я Радиаторская ,13,Войковская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301129606/,Москва,sale,flat,1,5,1,17.9,-1,0,9600000,Соколиная гора,проспект Буденного,24К3,Сортировочная,
ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/301407636/,Москва,sale,flat,21,22,1,38.5,-1,0,14999000,Южное Тушино,бульвар Яна Райниса,45К2,Сходненская,
ID 12811215,homeowner,https://www.cian.ru/sale/flat/300779575/,Москва,sale,flat,5,6,1,37.5,-1,0,10000000,, Сервантеса,3к1,Филатов Луг,Испанские кварталы
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298065569/,Москва,sale,flat,8,12,1,34.9,-1,0,9000000,Дмитровский,Клязьминская ,4,Грачёвская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300889564/,Москва,sale,flat,12,16,1,40.6,-1,0,18900000,Можайский, Вересаева,10,Давыдково,
Маленков недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301389273/,Москва,sale,flat,3,9,1,31.5,-1,0,12300000,Очаково-Матвеевское,Нежинская ,13,Матвеевская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297727983/,Москва,sale,flat,25,25,1,46.3,-1,0,15500000,Левобережный,Валдайский проезд,10к1,Беломорская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299635004/,Москва,sale,flat,16,17,1,37.8,-1,0,8700000,, Солнечная,15,Рассказовка,Град Московский
Илья Есин,realtor,https://www.cian.ru/sale/flat/301623335/,Москва,sale,flat,12,13,1,35.3,-1,0,12990000,Коньково, Введенского,22К2,Беляево,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298520114/,Москва,sale,flat,9,12,1,39.0,-1,0,9380000,Марьино,Донецкая ,19,Курьяново,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300725362/,Москва,sale,flat,8,9,1,35.0,-1,0,10490000,Северное Тушино, Вилиса Лациса,11К3,Планерная,
Диана Тухбатуллина,realtor,https://www.cian.ru/sale/flat/300400527/,Москва,sale,flat,3,5,1,31.0,-1,0,8490000,, Харлампиева,30к1,Филатов Луг,Спортивный квартал
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294451528/,Москва,sale,flat,9,17,1,38.0,-1,0,10500000,Южное Бутово,Веневская ,9,Улица Скобелевская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294038293/,Москва,sale,flat,11,24,1,43.5,-1,0,14100000,Нижегородский, Нижняя Хохловка,8,Нижегородская,
Homeprice,real_estate_agent,https://www.cian.ru/sale/flat/301044462/,Москва,sale,flat,2,5,1,38.0,-1,0,11400000,Академический, Шверника,14/1К1,Академическая,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300071808/,Москва,sale,flat,4,5,1,51.4,-1,0,11800000,Рязанский, Михайлова,22К1,Плющево,
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/300967755/,Москва,sale,flat,2,2,1,28.7,-1,0,9500000,Текстильщики,Грайвороновская ,4С2,Текстильщики,
Ксения Шахматова,realtor,https://www.cian.ru/sale/flat/300488507/,Москва,sale,flat,6,9,1,36.0,-1,0,12500000,Отрадное, Бестужевых,3Б,Отрадное,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299942586/,Москва,sale,flat,18,21,1,42.0,-1,0,15450000,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная,Мичуринский парк
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294258749/,Москва,sale,flat,12,17,1,37.9,-1,0,12000000,Братеево,Братеевская ,21,Борисово,
DOORS AGENCY MOSCOW,real_estate_agent,https://www.cian.ru/sale/flat/301577858/,Москва,sale,flat,22,22,1,38.6,-1,0,11000000,Марьино,Мячковский бульвар,31/19,Марьино,
Estes,real_estate_agent,https://www.cian.ru/sale/flat/301508047/,Москва,sale,flat,15,17,1,38.0,-1,0,11800000,Вешняки,аллея Жемчуговой,5К3,Новогиреево,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301165914/,Москва,sale,flat,7,24,1,49.0,-1,0,23000000,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park
Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/299549348/,Москва,sale,flat,10,24,1,40.8,-1,0,12600000,Нижегородский, Нижняя Хохловка,8,Нижегородская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301561988/,Москва,sale,flat,8,12,1,81.0,-1,0,98000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/301601248/,Москва,sale,flat,16,39,1,47.6,-1,0,25000000,Раменки, Лобачевского,120к1,Аминьевская,Крылья
Илья Сетков,realtor,https://www.cian.ru/sale/flat/301178903/,Москва,sale,flat,4,9,1,31.8,-1,0,10700000,Хорошево-Мневники,Карамышевская набережная,2/1,Народное Ополчение,
ТСН Владис,real_estate_agent,https://www.cian.ru/sale/flat/298620907/,Москва,sale,flat,11,16,1,44.9,-1,0,17480000,Басманный,Рубцовская набережная,2К3,Электрозаводская,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/297062106/,Москва,sale,flat,2,9,1,34.1,-1,0,20990000,Красносельский,переулок Даев,12/16,Сухаревская,
Ashtons International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301646294/,Москва,sale,flat,5,12,1,38.6,-1,0,10500000,Выхино-Жулебино,Жулебинский бульвар,30К1,Жулебино,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301314071/,Москва,sale,flat,8,12,1,39.4,-1,0,10500000,Северное Бутово,Ратная ,12К1,Бульвар Дмитрия Донского,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/301775124/,Москва,sale,flat,8,41,1,41.0,-1,0,34000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Бест офис на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/301669904/,Москва,sale,flat,5,5,1,32.0,-1,0,9490000,Царицыно,Кавказский бульвар,46К3,Кантемировская,
Estes,real_estate_agent,https://www.cian.ru/sale/flat/301504109/,Москва,sale,flat,9,9,1,41.0,-1,0,12900000,, Инженера Кнорре,7к3,Румянцево,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300099173/,Москва,sale,flat,3,15,1,37.5,-1,0,30000000,Аэропорт,Ленинградский проспект,36с39,Динамо,ВТБ Арена парк
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/300567179/,Москва,sale,flat,2,9,1,33.0,-1,0,9990000,Бутырский, Яблочкова,4,Дмитровская,
MOD estate,real_estate_agent,https://www.cian.ru/sale/flat/299499349/,Москва,sale,flat,5,21,1,48.4,-1,0,22800000,Щукино,Щукинская ,3,Щукинская,Интонация
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/299925097/,Москва,sale,flat,8,16,1,56.1,-1,0,28000000,Таганский,переулок Большой Симоновский,2,Пролетарская,На Симоновском
ID 19637233,homeowner,https://www.cian.ru/sale/flat/301627653/,Москва,sale,flat,9,16,1,38.0,-1,0,12300000,Марьино,Новочеркасский бульвар,30,Марьино,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301782648/,Москва,sale,flat,10,21,1,65.0,-1,0,67000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
ID 96167522,realtor,https://www.cian.ru/sale/flat/294926126/,Москва,sale,flat,4,9,1,26.8,-1,0,6182125,Люблино, Верхние Поля,27С2,Братиславская,
ID 111579657,homeowner,https://www.cian.ru/sale/flat/301058308/,Москва,sale,flat,10,16,1,34.5,-1,0,12590000,Восточное Измайлово,Нижняя Первомайская ,50,Первомайская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/296746930/,Москва,sale,flat,1,9,1,34.9,-1,0,6854250,Люблино, Верхние Поля,27С2,Братиславская,
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/297368415/,Москва,sale,flat,30,32,1,43.8,-1,0,16950000,Бутырский, Руставели,14,Бутырская,Руставели 14
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/301449742/,Москва,sale,flat,8,17,1,38.5,-1,0,13400000,Марфино, Кашенкин Луг,8к3,Улица Милашенкова,
ID 96167522,realtor,https://www.cian.ru/sale/flat/295766411/,Москва,sale,flat,9,9,1,35.3,-1,0,8977500,Люблино, Верхние Поля,27С2,Братиславская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/301361857/,Москва,sale,flat,5,9,1,29.5,-1,0,6688500,Люблино, Верхние Поля,27С2,Братиславская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300045498/,Москва,sale,flat,11,16,1,36.8,-1,0,14899000,Таганский,Вековая ,5,Площадь Ильича,
ID 96167522,realtor,https://www.cian.ru/sale/flat/299789518/,Москва,sale,flat,6,9,1,26.9,-1,0,6507900,Люблино, Верхние Поля,27С2,Братиславская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/298016388/,Москва,sale,flat,1,9,1,29.8,-1,0,6370000,Люблино, Верхние Поля,27С2,Братиславская,
Jcat,real_estate_agent,https://www.cian.ru/sale/flat/301215878/,Москва,sale,flat,8,9,1,35.0,-1,0,8300000,Гольяново,Хабаровская ,1,Щёлковская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/298016618/,Москва,sale,flat,4,9,1,36.1,-1,0,9120000,Люблино, Верхние Поля,27С2,Братиславская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/296746996/,Москва,sale,flat,9,9,1,35.1,-1,0,7220000,Люблино, Верхние Поля,27С2,Братиславская,
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/300179831/,Москва,sale,flat,2,20,1,40.1,-1,0,13700000,Коньково, Введенского,13в,Беляево,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301520908/,Москва,sale,flat,3,14,1,62.0,-1,0,63000000,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
ID 96167522,realtor,https://www.cian.ru/sale/flat/294228710/,Москва,sale,flat,8,9,1,37.0,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/301647536/,Москва,sale,flat,3,12,1,36.0,-1,0,13500000,Новогиреево,Союзный проспект,20К4,Новогиреево,
ID 96167522,realtor,https://www.cian.ru/sale/flat/294226529/,Москва,sale,flat,5,9,1,36.1,-1,0,9120000,Люблино, Верхние Поля,27С2,Братиславская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/296747241/,Москва,sale,flat,4,9,1,36.0,-1,0,9120000,Люблино, Верхние Поля,27С2,Братиславская,
ID 88424902,unknown,https://www.cian.ru/sale/flat/300253722/,Москва,sale,flat,2,6,1,31.0,-1,0,8160000,, Жемчужная,1к4,Филатов Луг,Марьино Град
ID 96167522,realtor,https://www.cian.ru/sale/flat/294926973/,Москва,sale,flat,7,9,1,36.9,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/295766589/,Москва,sale,flat,9,9,1,35.9,-1,0,9072500,Люблино, Верхние Поля,27С2,Братиславская,
ЛИДЕР,real_estate_agent,https://www.cian.ru/sale/flat/300895436/,Москва,sale,flat,7,12,1,27.6,-1,0,6950000,Матушкино,Зеленоград,к158,Зеленоград — Крюково,
ID 96167522,realtor,https://www.cian.ru/sale/flat/298882717/,Москва,sale,flat,9,9,1,36.5,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/297465291/,Москва,sale,flat,7,9,1,36.3,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
Геннадий Устинов,realtor,https://www.cian.ru/sale/flat/298520004/,Москва,sale,flat,4,5,1,32.1,-1,0,12500000,Хорошевский,проезд Аэропорта,6,Аэропорт,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/299486441/,Москва,sale,flat,6,12,1,41.15,-1,0,13400000,Нагатинский затон,Коломенская ,21К1,Кленовый бульвар,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/299055856/,Москва,sale,flat,2,9,1,33.6,-1,0,15500000,Мещанский,Трифоновская ,56,Рижская,
Гранд Сервис Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299257847/,Москва,sale,flat,5,5,1,32.0,-1,0,8700000,Перово,Новогиреевская ,13,Перово,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/299093726/,Москва,sale,flat,4,4,1,39.9,-1,0,11700000,Южное Тушино,Окружная ,2,Трикотажная,
ID 16206164,homeowner,https://www.cian.ru/sale/flat/301408225/,Москва,sale,flat,22,24,1,42.7,-1,0,19500000,Даниловский,Автозаводская ,23Бк2,ЗИЛ,Парк Легенд
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301496355/,Москва,sale,flat,3,14,1,35.3,-1,0,10900000,Коньково, Островитянова,45К2,Коньково,
ID 13544436,realtor,https://www.cian.ru/sale/flat/299397912/,Москва,sale,flat,12,16,1,38.5,-1,0,11900000,,проспект Магеллана,5,Филатов Луг,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300812067/,Москва,sale,flat,8,17,1,36.2,-1,0,27000000,Тверской,Садовая-Триумфальная ,22/31,Маяковская,
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301613522/,Москва,sale,flat,9,9,1,35.5,-1,0,13790000,Кунцево,Молдавская ,8,Кунцевская,
ID 112582351,realtor,https://www.cian.ru/sale/flat/301044096/,Москва,sale,flat,12,22,1,20.5,-1,0,9200000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
MERSI,real_estate_agent,https://www.cian.ru/sale/flat/299203398/,Москва,sale,flat,6,18,1,40.9,-1,0,17400000,Академический,Новочеремушкинская ,35к2,Профсоюзная,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298204489/,Москва,sale,flat,14,16,1,33.0,-1,0,8800000,,проспект Магеллана,2,Прокшино,Испанские кварталы
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/292414373/,Москва,sale,flat,16,22,1,14.3,-1,0,7450000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/294621795/,Москва,sale,flat,11,22,1,21.3,-1,0,8600000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
ПЕРСОНА,real_estate_agent,https://www.cian.ru/sale/flat/300448810/,Москва,sale,flat,14,14,1,38.0,-1,0,9000000,Косино-Ухтомский, Дмитриевского,23,Лухмановская,
ID 33199158,unknown,https://www.cian.ru/sale/flat/292196992/,Москва,sale,flat,1,4,1,41.3,-1,0,6800000,, Жемчужная,1к4,Филатов Луг,Марьино Град
Максим  Колесников,realtor,https://www.cian.ru/sale/flat/301350226/,Москва,sale,flat,21,25,1,33.5,-1,0,11950000,Кунцево,№ 100 кв-л,1к3,Павшино,Мякинино парк
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/300583980/,Москва,sale,flat,3,16,1,31.2,-1,0,9850000,,проспект Магеллана,1,Прокшино,Испанские кварталы
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/298376026/,Москва,sale,flat,15,30,1,37.5,-1,0,14500000,Южнопортовый,Волгоградский проспект,32/5к1,Угрешская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300140948/,Москва,sale,flat,11,20,1,44.0,-1,0,22500000,Левобережный,Ленинградское шоссе,69,Беломорская,Aquatoria
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300833206/,Москва,sale,flat,1,12,1,34.1,-1,0,10900000,Черемушки, Обручева,39,Калужская,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/294623881/,Москва,sale,flat,15,22,1,19.9,-1,0,8060000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/300938234/,Москва,sale,flat,2,2,1,30.0,-1,0,9900000,Текстильщики,Грайвороновская ,4С2,Текстильщики,
ТРИИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/300133799/,Москва,sale,flat,9,9,1,35.0,-1,0,11990000,Зюзино,Болотниковская ,42К1,Зюзино,
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/300858701/,Москва,sale,flat,6,22,1,17.3,-1,0,8590000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/301476484/,Москва,sale,flat,13,22,1,17.6,-1,0,8900000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
PnP Development,real_estate_agent,https://www.cian.ru/sale/flat/291263455/,Москва,sale,flat,1,14,1,24.1,-1,0,5880000,Солнцево,Боровский проезд,24,Солнечная,
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/293749407/,Москва,sale,flat,18,21,1,46.7,-1,0,17999900,Хорошево-Мневники, Народного Ополчения,13,Народное Ополчение,Wellton Gold
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/292001549/,Москва,sale,flat,18,48,1,42.4,-1,0,19900000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
ТРИИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/301727165/,Москва,sale,flat,5,9,1,33.0,-1,0,13900000,Даниловский,Велозаводская ,2к1,Автозаводская,
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/300822403/,Москва,sale,flat,22,22,1,19.4,-1,0,8880000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/300938238/,Москва,sale,flat,2,2,1,29.3,-1,0,9850000,Текстильщики,Грайвороновская ,4С2,Текстильщики,
ID 82311060,homeowner,https://www.cian.ru/sale/flat/301381443/,Москва,sale,flat,22,22,1,38.7,-1,0,12800000,Северное Тушино, Вилиса Лациса,25,Планерная,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/293718260/,Москва,sale,flat,5,6,1,43.0,-1,0,27999000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
