author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
FS PROPERTY,real_estate_agent,https://www.cian.ru/sale/flat/299340237/,Москва,sale,flat,6,15,3,204.6,-1,0,469003557,Тверской, Охотный Ряд,2,Охотный ряд,
FS PROPERTY,real_estate_agent,https://www.cian.ru/sale/flat/286463729/,Москва,sale,flat,2,8,3,202.4,-1,0,485966540,Хамовники,переулок Хилков,1,Парк Культуры,Парк Палас
Ашихмин и партнёры,real_estate_agent,https://www.cian.ru/sale/flat/292986275/,Москва,sale,flat,5,5,3,231.3,-1,0,492364999,Красносельский,Сретенский бульвар,6/1С1,Тургеневская,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/296112151/,Москва,sale,flat,69,78,3,269.4,-1,0,532000000,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/290411907/,Москва,sale,flat,2,4,3,219.2,-1,0,559927636,Хамовники,Пречистенская набережная,5,Парк Культуры,Кленовый DOM
ИПОМАКС,real_estate_agent,https://www.cian.ru/sale/flat/298773202/,Москва,sale,flat,2,9,3,54.6,-1,0,7500000,,,21,Апрелевка,
ID 135185,realtor,https://www.cian.ru/sale/flat/299712704/,Москва,sale,flat,3,3,3,58.7,-1,0,8600000,,,18,Щербинка,
Самолет плюс Троицк,real_estate_agent,https://www.cian.ru/sale/flat/299416417/,Москва,sale,flat,4,5,3,60.7,-1,0,8700000,,,,,
ID 97474129,homeowner,https://www.cian.ru/sale/flat/298720571/,Москва,sale,flat,2,3,3,70.5,-1,0,9700000,, Вышгородская,17,Апрелевка,Борисоглебское
ИПОМАКС,real_estate_agent,https://www.cian.ru/sale/flat/298093031/,Москва,sale,flat,1,3,3,74.7,-1,0,10300000,, Борисоглебская Слобода,7к1,Апрелевка,
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/299474727/,Москва,sale,flat,10,16,3,60.5,-1,0,10350000,,,23Б,Апрелевка,
Самолет плюс Троицк,real_estate_agent,https://www.cian.ru/sale/flat/300892482/,Москва,sale,flat,8,9,3,57.5,-1,0,10500000,, Центральная,26,Прокшино,
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/300647905/,Москва,sale,flat,12,14,3,57.0,-1,0,10990000,, Харлампиева,48к1,Филатов Луг,Спортивный квартал
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300437398/,Москва,sale,flat,2,5,3,61.0,-1,0,11980000,, Высотная,9,Щербинка,
ID 311,realtor,https://www.cian.ru/sale/flat/299559924/,Москва,sale,flat,9,9,3,53.0,-1,0,12200000,Царицыно, Медиков,13,Кантемировская,
АБ Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/301186652/,Москва,sale,flat,14,15,3,50.6,-1,0,12200000,, Стожарова,11,Санино,Новое Внуково
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301160019/,Москва,sale,flat,3,9,3,59.5,-1,0,12300000,Вешняки, Красный Казанец,13,Выхино,
S.Y.Realty,real_estate_agent,https://www.cian.ru/sale/flat/299777654/,Москва,sale,flat,2,9,3,58.4,-1,0,12450000,Чертаново Южное,Чертановская ,51К5,Улица Академика Янгеля,
SB Realty,real_estate_agent,https://www.cian.ru/sale/flat/299934482/,Москва,sale,flat,2,12,3,57.8,-1,0,12500000,Чертаново Южное,Россошанская ,7К1,Улица Академика Янгеля,
ЭТАЖИ Подольск,real_estate_agent,https://www.cian.ru/sale/flat/298708392/,Москва,sale,flat,7,7,3,86.9,-1,0,12500000,,,29,Силикатная,
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/298557542/,Москва,sale,flat,2,9,3,58.3,-1,0,12700000,Отрадное,Алтуфьевское шоссе,18Г,Отрадное,
АБ Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/300099663/,Москва,sale,flat,2,9,3,58.3,-1,0,12700000,Чертаново Южное,Россошанский проезд,5К1,Улица Академика Янгеля,
Катерина Романова,realtor,https://www.cian.ru/sale/flat/300988379/,Москва,sale,flat,1,9,3,59.0,-1,0,12650000,Вешняки, Молдагуловой,28К3,Выхино,
Самолет плюс Троицк,real_estate_agent,https://www.cian.ru/sale/flat/299416419/,Москва,sale,flat,5,12,3,63.3,-1,0,12900000,,проспект Октябрьский,10,Коммунарка,
РОСТ-РИЕЛТ на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/297679013/,Москва,sale,flat,8,9,3,58.4,-1,0,13000000,Ярославский,Ярославское шоссе,24К1,ВДНХ,
Навигатор,real_estate_agent,https://www.cian.ru/sale/flat/295331890/,Москва,sale,flat,1,9,3,53.0,-1,0,13000000,Бибирево, Коненкова,12А,Бибирево,
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/295680335/,Москва,sale,flat,4,16,3,59.1,-1,0,13200000,,проспект Магеллана,5,Филатов Луг,
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/300170974/,Москва,sale,flat,5,5,3,53.6,-1,0,13200000,Измайлово,5-я Парковая ,39К4,Первомайская,
ИНГРУПП,real_estate_agent,https://www.cian.ru/sale/flat/300776368/,Москва,sale,flat,6,9,3,56.5,-1,0,13300000,Головинский,Кронштадтский бульвар,39К2,Коптево,
МОЯ СТОЛИЦА,real_estate_agent,https://www.cian.ru/sale/flat/297850298/,Москва,sale,flat,10,14,3,65.9,-1,0,13500000,, Харлампиева,46,Филатов Луг,Спортивный квартал
ID 7098,realtor,https://www.cian.ru/sale/flat/301642076/,Москва,sale,flat,2,9,3,60.5,-1,0,13490000,Зябликово,Кустанайская ,8К1,Шипиловская,
ЗелАН,real_estate_agent,https://www.cian.ru/sale/flat/272544579/,Москва,sale,flat,2,14,3,77.4,-1,0,13500000,Крюково,Зеленоград,к1818,,
NEWPOLIS,real_estate_agent,https://www.cian.ru/sale/flat/300289604/,Москва,sale,flat,1,9,3,59.4,-1,0,13500000,Орехово-Борисово Северное,Ореховый бульвар,11К1,Домодедовская,
Татьяна Артыкова,realtor,https://www.cian.ru/sale/flat/293690194/,Москва,sale,flat,1,12,3,62.7,-1,0,13600000,Бирюлево Западное,Харьковский проезд,5К1,Пражская,
Estes,real_estate_agent,https://www.cian.ru/sale/flat/301122762/,Москва,sale,flat,5,17,3,72.0,-1,0,13700000,, Барышевская Роща,24,Щербинка,Прима-Парк
МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/300112194/,Москва,sale,flat,3,12,3,63.3,-1,0,13800000,Бирюлево Восточное,Касимовская ,15,Царицыно,
ТАНДЕМ,real_estate_agent,https://www.cian.ru/sale/flat/300923132/,Москва,sale,flat,13,18,3,75.0,-1,0,13900000,Южное Бутово, Захарьинские Дворики,1к1,Щербинка,
ID 76707972,homeowner,https://www.cian.ru/sale/flat/301461871/,Москва,sale,flat,8,9,3,57.5,-1,0,14000000,Рязанский, Академика Скрябина,20/1,Рязанский проспект,
МОЯ СТОЛИЦА,real_estate_agent,https://www.cian.ru/sale/flat/294295889/,Москва,sale,flat,4,12,3,63.2,-1,0,14149999,Бибирево,Белозерская ,11А,Бибирево,
Евгений Скобелев,realtor,https://www.cian.ru/sale/flat/301650039/,Москва,sale,flat,17,17,3,74.0,-1,0,14300000,Крюково,Зеленоград,к1561,Зеленоград — Крюково,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300243780/,Москва,sale,flat,15,17,3,63.0,-1,0,14500000,,проспект Прокшинский,,Прокшино,
МЦН,real_estate_agent,https://www.cian.ru/sale/flat/300327358/,Москва,sale,flat,8,9,3,60.0,-1,0,14499000,Москворечье-Сабурово,Пролетарский проспект,6К1,Кантемировская,
МОЯ СТОЛИЦА,real_estate_agent,https://www.cian.ru/sale/flat/300542990/,Москва,sale,flat,4,9,3,59.3,-1,0,14500000,Северное Измайлово,Сиреневый бульвар,73К1,Щёлковская,
CENTURY 21 Перспектива,real_estate_agent,https://www.cian.ru/sale/flat/299292844/,Москва,sale,flat,11,19,3,74.0,-1,0,14500000,Некрасовка,проспект Защитников Москвы,13,Некрасовка,
ID 61277329,homeowner,https://www.cian.ru/sale/flat/300474790/,Москва,sale,flat,3,9,3,83.9,-1,0,14499999,,проспект Новосередневский,17к2,Филатов Луг,Середневский лес
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301199975/,Москва,sale,flat,2,9,3,62.8,-1,0,14900000,Можайский,Беловежская ,77,Сетунь,
Максим Соколов,realtor,https://www.cian.ru/sale/flat/301542557/,Москва,sale,flat,10,17,3,88.61,-1,0,14900000,,,3,Крёкшино,
Доступная Недвижимость. 8 отдел,real_estate_agent,https://www.cian.ru/sale/flat/301151457/,Москва,sale,flat,8,9,3,51.0,-1,0,14800000,Северное Медведково,проезд Шокальского,53,Медведково,
Алена Будаева,realtor,https://www.cian.ru/sale/flat/297657698/,Москва,sale,flat,8,9,3,51.0,-1,0,14800000,Строгино,Строгинский бульвар,13К3,Строгино,
ЗелАН,real_estate_agent,https://www.cian.ru/sale/flat/297549747/,Москва,sale,flat,8,23,3,72.0,-1,0,14990000,Крюково,Зеленоград,к2039,Зеленоград — Крюково,мой адрес В Зеленограде
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/296199584/,Москва,sale,flat,9,9,3,63.5,-1,0,14999999,Чертаново Южное,Чертановская ,51К4,Пражская,
Самолет Плюс,real_estate_agent,https://www.cian.ru/sale/flat/301166816/,Москва,sale,flat,4,9,3,60.1,-1,0,15200000,Орехово-Борисово Южное,Каширское шоссе,110К2,Домодедовская,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300840176/,Москва,sale,flat,4,9,3,55.0,-1,0,15299000,Ясенево, Рокотова,8К2,Ясенево,
Самолет плюс Троицк,real_estate_agent,https://www.cian.ru/sale/flat/301300305/,Москва,sale,flat,10,12,3,64.0,-1,0,15500000,Головинский,1-й Лихачевский переулок,8,Коптево,
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/297636835/,Москва,sale,flat,2,9,3,59.7,-1,0,15500000,Чертаново Центральное, Красного Маяка,5К2,Пражская,
ID 12886586,unknown,https://www.cian.ru/sale/flat/299712551/,Москва,sale,flat,3,25,3,86.0,-1,0,15500000,Коньково,Миклухо-Маклая ,42,Беляево,
ID 85536698,unknown,https://www.cian.ru/sale/flat/301321711/,Москва,sale,flat,9,16,3,75.0,-1,0,15700000,Восточное Дегунино,Керамический проезд,73К1,Лианозово,
Самолет Плюс - Домодедово,real_estate_agent,https://www.cian.ru/sale/flat/299570271/,Москва,sale,flat,9,17,3,72.7,-1,0,15800000,Некрасовка,Рождественская ,6,Некрасовка,
Century 21 Level,real_estate_agent,https://www.cian.ru/sale/flat/299852070/,Москва,sale,flat,5,9,3,60.0,-1,0,15800000,Северное Медведково,Широкая ,20,Медведково,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/299166136/,Москва,sale,flat,4,5,3,55.6,-1,0,15800000,Москворечье-Сабурово,Каширское шоссе,28К3,Каширская,
Янина Антипина,realtor,https://www.cian.ru/sale/flat/301306747/,Москва,sale,flat,7,9,3,41.0,-1,0,15800000,, Инженера Кнорре,7к2,Румянцево,
Качанова и партнеры,real_estate_agent,https://www.cian.ru/sale/flat/301021397/,Москва,sale,flat,2,16,3,66.0,-1,0,15900000,Марьино,Новочеркасский бульвар,20К1,Курьяново,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/300318344/,Москва,sale,flat,4,9,3,57.0,-1,0,16000000,Северное Тушино, Героев Панфиловцев,1К1,Сходненская,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300020394/,Москва,sale,flat,7,17,3,76.0,-1,0,15999000,, Барышевская Роща,12,Щербинка,Прима-Парк
Дарья Румянцева,realtor,https://www.cian.ru/sale/flat/300545209/,Москва,sale,flat,13,18,3,47.7,-1,0,16000000,Останкинский,Березовая аллея,19к2,Ботанический сад,Апарт-комплекс Легендарный квартал
Estes,real_estate_agent,https://www.cian.ru/sale/flat/301151990/,Москва,sale,flat,4,14,3,99.4,-1,0,16000000,, Индустриальная,6,Щербинка,
ID 10600595,unknown,https://www.cian.ru/sale/flat/279165831/,Москва,sale,flat,3,9,3,63.0,-1,0,15999000,Орехово-Борисово Южное,Воронежская ,34К5,Зябликово,
ID 105800631,unknown,https://www.cian.ru/sale/flat/301422429/,Москва,sale,flat,7,14,3,70.0,-1,0,16000000,, Липовый Парк,7,Коммунарка,Москва А101
ID 115030802,realtor,https://www.cian.ru/sale/flat/300640950/,Москва,sale,flat,5,22,3,100.5,-1,0,16080000,Бирюлево Восточное,6-я Радиальная ,7/1к2,Царицыно,Царицыно-2
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/301316031/,Москва,sale,flat,6,16,3,65.2,-1,0,16200000,Лианозово,Новгородская ,7К1,Алтуфьево,
Ольга Залалова,realtor,https://www.cian.ru/sale/flat/292028756/,Москва,sale,flat,2,5,3,52.0,-1,0,16380000,Алексеевский,Ярославская ,17,ВДНХ,
ID 115029791,realtor,https://www.cian.ru/sale/flat/300759794/,Москва,sale,flat,13,22,3,100.5,-1,0,16281000,Бирюлево Восточное,6-я Радиальная ,вл7к28,Царицыно,Царицыно-2
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301399674/,Москва,sale,flat,25,25,3,77.3,-1,0,16500000,Митино,Муравская ,38к2,Пятницкое шоссе,Мир Митино
Вера Тарусова,realtor,https://www.cian.ru/sale/flat/301696193/,Москва,sale,flat,8,9,3,60.0,-1,0,16650000,Тимирязевский,Тимирязевская ,13,Дмитровская,
