author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ЖИR Private,real_estate_agent,https://www.cian.ru/sale/flat/300810444/,Москва,sale,flat,2,16,2,68.4,-1,0,41000000,Раменки,Мичуринский проспект,7К1,Ломоносовский проспект,Квартал Шуваловский
Дарья Базылева,realtor,https://www.cian.ru/sale/flat/301128875/,Москва,sale,flat,6,8,2,85.0,-1,0,42000000,Беговой,Ленинградский проспект,5С2,Белорусская,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300321398/,Москва,sale,flat,7,7,2,83.6,-1,0,42500000,Беговой,Ленинградский проспект,1,Белорусская,
ID 72343558,homeowner,https://www.cian.ru/sale/flat/298506160/,Москва,sale,flat,21,31,2,108.8,-1,0,42500000,Ломоносовский,Нахимовский проспект,73,Профсоюзная,Versis
МосИнвестНедвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299968508/,Москва,sale,flat,23,78,2,62.0,-1,0,43000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
NW-RIELTY,real_estate_agent,https://www.cian.ru/sale/flat/301579727/,Москва,sale,flat,26,29,2,53.0,-1,0,43000000,Якиманка,Мытная ,40к4,Октябрьская,Sky House
ЖИR Private,real_estate_agent,https://www.cian.ru/sale/flat/300842155/,Москва,sale,flat,15,22,2,87.5,-1,0,44000000,Фили-Давыдково,Давыдковская ,18,Давыдково,Форт Кутузов
ID 47499523,realtor,https://www.cian.ru/sale/flat/301188598/,Москва,sale,flat,2,19,2,69.1,-1,0,44000000,Хорошево-Мневники,Шелепихинская набережная,34к2зд2,Шелепиха,
ID 114254618,homeowner,https://www.cian.ru/sale/flat/300529484/,Москва,sale,flat,6,12,2,81.9,-1,0,43900000,Хорошевский,Ходынский бульвар,19,ЦСКА,Гранд-парк
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301763282/,Москва,sale,flat,39,41,2,56.9,-1,0,44900000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
ID 57733949,unknown,https://www.cian.ru/sale/flat/267439381/,Москва,sale,flat,43,44,2,69.0,-1,0,44500000,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
МосИнвестНедвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299990377/,Москва,sale,flat,46,78,2,60.0,-1,0,45000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Евгения Горб,realtor,https://www.cian.ru/sale/flat/301597743/,Москва,sale,flat,5,11,2,52.0,-1,0,47900000,Дорогомилово,Кутузовский проспект,4/2,Киевская,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/301067667/,Москва,sale,flat,22,25,2,111.0,-1,0,47900000,Якиманка,Мытная ,40к4,Октябрьская,Sky House
ID 21109,realtor,https://www.cian.ru/sale/flat/298022553/,Москва,sale,flat,5,23,2,79.9,-1,0,48000000,Сокольники,проезд Попов,4,Электрозаводская,
ID 15691066,real_estate_agent,https://www.cian.ru/sale/flat/300305064/,Москва,sale,flat,19,28,2,80.0,-1,0,48000000,Тропарево-Никулино,улица Мичуринский проспект Олимпийская деревня,1к1,Мичуринский проспект,Чемпион парк
МосИнвестНедвижимость,real_estate_agent,https://www.cian.ru/sale/flat/298976659/,Москва,sale,flat,53,78,2,53.3,-1,0,48500000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Александр Смирнов,realtor,https://www.cian.ru/sale/flat/300445049/,Москва,sale,flat,16,40,2,72.0,-1,0,48500000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
ID 100288994,homeowner,https://www.cian.ru/sale/flat/286046754/,Москва,sale,flat,3,9,2,118.8,-1,0,57000000,Тверской,Большой Каретный переулок,24с2,Цветной бульвар,Каретный плаза
Century 21 Харламов,real_estate_agent,https://www.cian.ru/sale/flat/301065291/,Москва,sale,flat,4,8,2,65.1,-1,0,57500000,Тверской, Большая Дмитровка,21/7,Пушкинская,
Галина Каримова,realtor,https://www.cian.ru/sale/flat/300018901/,Москва,sale,flat,4,9,2,54.4,-1,0,58400000,Беговой,Верхняя ,22,Белорусская,Оливковый дом
Diamant Estate,real_estate_agent,https://www.cian.ru/sale/flat/300028754/,Москва,sale,flat,17,34,2,68.2,-1,0,61000000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Елена Нестеренко,realtor,https://www.cian.ru/sale/flat/290422201/,Москва,sale,flat,3,6,2,49.0,-1,0,64000000,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
CHIP.AGENCY,real_estate_agent,https://www.cian.ru/sale/flat/299746602/,Москва,sale,flat,79,95,2,72.9,-1,0,65500000,Пресненский,набережная Пресненская,12,Деловой центр,Башня Федерация
Ксения Тищенкова,realtor,https://www.cian.ru/sale/flat/297845963/,Москва,sale,flat,4,57,2,110.0,-1,0,66000000,Хорошевский,Чапаевский переулок,3,Аэропорт,Триумф-Палас
MUST HAVE BURO,real_estate_agent,https://www.cian.ru/sale/flat/301124146/,Москва,sale,flat,3,10,2,53.5,-1,0,70000000,Пресненский,Малый Кисловский переулок,3,Арбатская,Рахманинов
Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/294770347/,Москва,sale,flat,5,8,2,60.0,-1,0,74900000,Таганский,Тессинский переулок,3,Чкаловская,"Тессинский, 1"
MUST HAVE BURO,real_estate_agent,https://www.cian.ru/sale/flat/301706557/,Москва,sale,flat,2,10,2,67.8,-1,0,85000000,Тверской, Палиха,4,Менделеевская,Клубный дом Maison Rouge
Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/297708682/,Москва,sale,flat,2,5,2,76.0,-1,0,84400000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
ID 413058,realtor,https://www.cian.ru/sale/flat/297753284/,Москва,sale,flat,3,4,2,61.8,-1,0,85900000,Хамовники,Малый Левшинский переулок,10,Парк Культуры,
MUST HAVE BURO,real_estate_agent,https://www.cian.ru/sale/flat/294069323/,Москва,sale,flat,2,7,2,111.0,-1,0,110000000,Арбат,1-й Смоленский переулок,21,Смоленская,Smolensky De Luxe
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539780/,Москва,sale,flat,5,6,2,117.0,-1,0,115000000,Хамовники,3-й Обыденский переулок,2,Кропоткинская,
Анастасия Журкевич,realtor,https://www.cian.ru/sale/flat/295350545/,Москва,sale,flat,5,8,2,91.0,-1,0,133144654,Пресненский,Малый Козихинский переулок,7,Пушкинская,
,,https://www.cian.ru/sale/flat/285925205/,Москва,sale,flat,4,9,2,75.3,-1,0,135540000,Хамовники,2-й Неопалимовский переулок,3,Парк Культуры,Клубный особняк High Garden
ALVO Group,real_estate_agent,https://www.cian.ru/sale/flat/297469657/,Москва,sale,flat,3,5,2,104.0,-1,0,150000000,Тверской,Никольская ,10/2С2б,Лубянка,St. Nickolas
,,https://www.cian.ru/sale/flat/285924533/,Москва,sale,flat,4,9,2,87.9,-1,0,158220000,Хамовники,2-й Неопалимовский переулок,3,Парк Культуры,Клубный особняк High Garden
Виктория Малинбойм,realtor,https://www.cian.ru/sale/flat/300005419/,Москва,sale,flat,3,10,2,113.5,-1,0,182000000,Тверской,Большая Грузинская ,69,Белорусская,Четыре Ветра
TROIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300562569/,Москва,sale,flat,5,6,2,100.0,-1,0,191358509,Хамовники,Пожарский переулок,3,Кропоткинская,Villa Grace
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/295919515/,Москва,sale,flat,1,9,-1,36.7,-1,0,1300000,Перово, Металлургов,6,Перово,
ID 95938,realtor,https://www.cian.ru/sale/flat/298072275/,Москва,sale,flat,4,5,2,51.0,-1,0,6700000,пос. Рогово, Школьная,17,,
Liberty Estate,real_estate_agent,https://www.cian.ru/sale/flat/299046481/,Москва,sale,flat,2,7,2,42.3,-1,0,7200000,, Медовая Долина,1к2,Санино,
ID 53878530,real_estate_agent,https://www.cian.ru/sale/flat/299185443/,Москва,sale,flat,1,14,2,39.0,-1,0,7890000,, Омская,9,Аэропорт Внуково,Внуково 2017
ID 111063984,homeowner,https://www.cian.ru/sale/flat/300242071/,Москва,sale,flat,3,5,2,44.0,-1,0,7900000,, Школьная,12,Кокошкино,
Галина Стеблякова,realtor,https://www.cian.ru/sale/flat/295688091/,Москва,sale,flat,12,12,2,38.5,-1,0,8000000,,,18,Коммунарка,
ID 89413947,realtor,https://www.cian.ru/sale/flat/301114893/,Москва,sale,flat,8,12,2,63.3,-1,0,8300000,, Гореловская,3,Силикатная,
ID 94286673,homeowner,https://www.cian.ru/sale/flat/301774524/,Москва,sale,flat,3,4,2,46.7,-1,0,8500000,, Солнечная,3А,Рассказовка,Клубный дом Солнечный
ID 79464096,homeowner,https://www.cian.ru/sale/flat/289211505/,Москва,sale,flat,12,18,2,32.6,-1,0,8600000,Крюково,проспект Георгиевский,33к5,Митино,Жемчужина Зеленограда
Руслан Рогов,realtor,https://www.cian.ru/sale/flat/301620056/,Москва,sale,flat,2,9,2,37.0,-1,0,8980000,Гольяново,Щелковское шоссе,45,Щёлковская,
ID 96232923,homeowner,https://www.cian.ru/sale/flat/278777773/,Москва,sale,flat,4,4,2,71.0,-1,0,9150000,, Троицкая,2/1,Остафьево,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300153006/,Москва,sale,flat,3,3,2,65.3,-1,0,9350000,, Борисоглебская Слобода,19,Апрелевка,Борисоглебское
Максим Соколов,realtor,https://www.cian.ru/sale/flat/299531552/,Москва,sale,flat,1,5,2,50.7,-1,0,9500000,Очаково-Матвеевское,Большая Очаковская ,11,Очаково,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/299098558/,Москва,sale,flat,14,14,2,40.0,-1,0,9500000,, Омская,8,Аэропорт Внуково,Внуково 2017
Гретта Асриян,realtor,https://www.cian.ru/sale/flat/300119410/,Москва,sale,flat,4,15,2,56.0,-1,0,9500000,, Барышевская Роща,2,Щербинка,Прима-Парк
ID 79234919,homeowner,https://www.cian.ru/sale/flat/297533530/,Москва,sale,flat,4,4,2,60.0,-1,0,9500000,пос. Рогово, Березки,,,Кутузовские берёзы
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298618899/,Москва,sale,flat,1,5,2,44.8,-1,0,9600000,Восточное Измайлово,Измайловский проспект,87,Первомайская,
CENTURY 21 Перспектива,real_estate_agent,https://www.cian.ru/sale/flat/297115546/,Москва,sale,flat,4,9,2,44.3,-1,0,9700000,Марьино,Подольская ,9,Перерва,
ID 44026408,homeowner,https://www.cian.ru/sale/flat/295313435/,Москва,sale,flat,16,18,2,42.2,-1,0,9677777,, Александры Монаховой,90к6,Бунинская аллея,Бунинские луга
Офис на Серпуховской,real_estate_agent,https://www.cian.ru/sale/flat/301648641/,Москва,sale,flat,16,17,2,65.0,-1,0,9899999,Южное Бутово, Маршала Савицкого,26,Щербинка,
ID 85569806,realtor,https://www.cian.ru/sale/flat/300502907/,Москва,sale,flat,1,9,2,38.0,-1,0,9900000,Кузьминки,Окская ,36К1,Окская,
ID 135185,realtor,https://www.cian.ru/sale/flat/298841430/,Москва,sale,flat,2,9,2,61.2,-1,0,10000000,,,54,Подольск,Акварель
Офис на Серпуховской,real_estate_agent,https://www.cian.ru/sale/flat/301139828/,Москва,sale,flat,7,9,2,44.5,-1,0,10100000,Бирюлево Восточное,Бирюлевская ,29К1,Царицыно,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300153742/,Москва,sale,flat,12,12,2,44.7,-1,0,10150000,,проспект Куприна,,Бунинская аллея,Эко Бунино
Анна Ютовец,realtor,https://www.cian.ru/sale/flat/299124774/,Москва,sale,flat,2,12,2,36.9,-1,0,10150000,Выхино-Жулебино, Хлобыстова,16К1,Выхино,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300153301/,Москва,sale,flat,11,15,2,36.0,-1,0,10270000,Нижегородский,Подъемная ,1,Калитники,
